Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name
L. Messi,Lionel Messi,91,91,54000000,RW,CAM,Argentina,35,169,67,2190,452,Paris Saint-Germain
K. Benzema,Karim Benzema,91,91,64000000,"CF,ST",CF,France,34,185,81,2147,455,Real Madrid CF
R. Lewandowski,Robert Lewandowski,91,91,84000000,ST,ST,Poland,33,185,81,2205,458,FC Barcelona
K. De Bruyne,Kevin De Bruyne,91,91,107500000,"CM,CAM",CM,Belgium,31,181,70,2303,483,Manchester City
K. Mbappé,Kylian Mbappé,91,95,190500000,"ST,LW",ST,France,23,182,73,2177,470,Paris Saint-Germain
M. Salah,Mohamed Salah,90,90,115500000,RW,RW,Egypt,30,175,71,2226,471,Liverpool
T. Courtois,Thibaut Courtois,90,91,90000000,GK,GK,Belgium,30,199,96,1334,473,Real Madrid CF
M. Neuer,Manuel Neuer,90,90,13500000,GK,GK,Germany,36,193,93,1535,501,FC Bayern München
Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,90,90,41000000,ST,ST,Portugal,37,187,83,2159,445,Manchester United
V. van Dijk,Virgil van Dijk,90,90,98000000,CB,CB,Netherlands,30,193,92,2117,461,Liverpool
H. Kane,Harry Kane,89,89,105500000,ST,ST,England,28,188,89,2193,453,Tottenham Hotspur
Neymar Jr,Neymar da Silva Santos Jr.,89,89,99500000,LW,LW,Brazil,30,175,68,2157,446,Paris Saint-Germain
H. Son,Heung Min Son,89,89,101000000,"LW,LM",LW,Korea Republic,29,183,78,2141,456,Tottenham Hotspur
Casemiro,Carlos Henrique Venancio Casimiro,89,89,86000000,CDM,CDM,Brazil,30,185,84,2209,460,Manchester United
J. Oblak,Jan Oblak,89,91,85500000,GK,GK,Slovenia,29,188,87,1402,479,Atlético de Madrid
S. Mané,Sadio Mané,89,89,99500000,"LM,CF",LM,Senegal,30,174,69,2188,462,FC Bayern München
Ederson,Ederson Santana de Moraes,89,91,88000000,GK,GK,Brazil,28,188,86,1583,502,Manchester City
J. Kimmich,Joshua Kimmich,89,90,105500000,"CDM,RB",CDM,Germany,27,177,75,2283,473,FC Bayern München
Alisson,Alisson Ramses Becker,89,90,79000000,GK,GK,Brazil,29,191,91,1437,489,Liverpool
N. Kanté,N'Golo Kanté,89,89,72000000,"CDM,CM",CDM,France,31,168,70,2154,462,Chelsea
Rúben Dias,Rúben Santos Gato Alves Dias,88,91,107500000,CB,CB,Portugal,25,187,82,1894,412,Manchester City
E. Haaland,Erling Haaland,88,94,148000000,ST,ST,Norway,21,195,94,2120,461,Manchester City
G. Donnarumma,Gianluigi Donnarumma,88,92,103500000,GK,GK,Italy,23,196,90,1375,478,Paris Saint-Germain
Bernardo Silva,Bernardo Mota Carvalho e Silva,88,88,97500000,"CAM,CM",CAM,Portugal,27,173,64,2185,460,Manchester City
João Cancelo,João Pedro Cavaco Cancelo,88,88,82500000,"LB,RB",LB,Portugal,28,182,74,2262,482,Manchester City
Marquinhos,Marcos Aoás Corrêa,88,90,92000000,CB,CB,Brazil,28,183,75,2082,453,Paris Saint-Germain
K. Navas,Keylor Navas,88,88,10000000,GK,GK,Costa Rica,35,185,80,1428,478,Paris Saint-Germain
M. ter Stegen,Marc-André ter Stegen,88,89,68500000,GK,GK,Germany,30,187,85,1443,480,FC Barcelona
T. Kroos,Toni Kroos,88,88,72000000,CM,CM,Germany,32,183,76,2147,444,Real Madrid CF
L. Modrić,Luka Modrić,88,88,29000000,CM,CM,Croatia,36,172,66,2257,464,Real Madrid CF
A. Rüdiger,Antonio Rüdiger,87,88,73500000,CB,CB,Germany,29,190,85,2011,444,Real Madrid CF
Rodri,Rodrigo Hernández Cascante,87,89,88500000,CDM,CDM,Spain,26,191,82,2133,454,Manchester City
Fabinho,Fábio Henrique Tavares,87,88,77000000,"CDM,CB",CDM,Brazil,28,188,78,2165,459,Liverpool
H. Lloris,Hugo Lloris,87,87,9000000,GK,GK,France,35,188,82,1399,478,Tottenham Hotspur
T. Müller,Thomas Müller,87,87,63000000,"CAM,CF",CAM,Germany,32,185,76,2140,443,FC Bayern München
De Gea,David De Gea Quintana,87,87,42000000,GK,GK,Spain,31,192,76,1415,468,Manchester United
M. Verratti,Marco Verratti,87,87,77500000,"CM,CAM",CM,Italy,29,165,60,2189,444,Paris Saint-Germain
M. Maignan,Mike Maignan,87,90,80000000,GK,GK,France,26,191,89,1496,477,AC Milan
T. Alexander-Arnold,Trent Alexander-Arnold,87,90,100500000,RB,CM,England,23,180,69,2234,467,Liverpool
