Age,College,Current Team,Experience,Height (inches),Name,Player Id,Position,Weight (lbs)
0,25,Central Michigan,Pittsburgh Steelers,3rd season,77,"Walton, L.T.",l.t.walton/2552444,DE,305
1,22,Clemson,New York Jets,Rookie,77,"Leggett, Jordan",jordanleggett/2557885,TE,250
2,25,Pittsburgh,Washington Redskins,1st season,74,"Garner, Manasseh",manassehgarner/2553801,TE,220
3,29,Ohio State,Carolina Panthers,8th season,71,"Coleman, Kurt",kurtcoleman/494261,SS,200
4,26,Ohio U.,Oakland Raiders,4th season,72,"Carrie, T.J.",t.j.carrie/2550164,SS,205
5,29,South Florida,Miami Dolphins,8th season,72,"Allen, Nate",nateallen/2508043,DB,210
6,24,Akron,Washington Redskins,1st season,75,"Williams, Isaiah",isaiahwilliams/2557450,OT,295
7,24,Pittsburg State,Kansas City Chiefs,2nd season,74,"Bausby, DeVante",devantebausby/2553790,CB,190
8,,Massachusetts,Denver Broncos,Rookie,76,"Wilkinson, Elijah",elijahwilkinson/2559295,OT,331
9,27,Montana,Los Angeles Rams,6th season,74,"Johnson, Trumaine",trumainejohnson/2532877,CB,208
10,30,Utah,San Francisco 49ers,8th season,76,"Beadles, Zane",zanebeadles/496980,G,305
11,23,Indiana,Los Angeles Chargers,Rookie,76,"Feeney, Dan",danfeeney/2557873,OG,304
12,27,USC,New York Giants,3rd season,75,"Holmes, Khaled",khaledholmes/2539307,C,309
13,27,Pittsburgh,Houston Texans,4th season,76,"Savage, Tom",tomsavage/2543640,QB,230
14,22,Mississippi,Miami Dolphins,2nd season,77,"Tunsil, Laremy",laremytunsil/2555201,OG,316
15,,Miami (Fla.),Jacksonville Jaguars,Rookie,70,"Williams, Marquez",marquezwilliams/2558860,FB,259
16,32,Boston College,Washington Redskins,11th season,72,"Blackmon, Will",willblackmon/2495809,FS,212
17,24,Nevada,Buffalo Bills,Rookie,74,"Seau, Ian",ianseau/2556677,DE,256
18,25,Kansas State,Los Angeles Chargers,1st season,72,"Evans, Randall",randallevans/2553355,CB,195
19,27,Tennessee,Jacksonville Jaguars,6th season,77,"Jackson, Malik",malikjackson/2532873,DT,300
20,25,Tennessee,Kansas City Chiefs,4th season,77,"Fulton, Zach",zachfulton/2543862,G,316
21,29,North Carolina,Buffalo Bills,9th season,73,"Tate, Brandon",brandontate/81306,WR,195
22,27,Illinois,Los Angeles Chargers,7th season,74,"Liuget, Corey",coreyliuget/2495483,DE,300
23,29,Boston College,New York Giants,7th season,76,"Herzlich, Mark",markherzlich/2495164,OLB,246
24,28,Fresno State,New Orleans Saints,6th season,78,"Harris, Bryce",bryceharris/2532859,T,300
25,26,South Carolina,Cincinnati Bengals,4th season,76,"Johnson, T.J.",t.j.johnson/2540251,OG,300
26,27,Alabama,New York Giants,3rd season,74,"Norwood, Kevin",kevinnorwood/2543689,WR,210
27,22,LSU,Minnesota Vikings,Rookie,77,"Bower, Tashawn",tashawnbower/2558915,DE,250
28,27,Alabama-Birmingham,Cleveland Browns,5th season,78,"McCants, Matt",mattmccants/2532905,T,310
29,20,Ohio State,Miami Dolphins,Rookie,74,"McMillan, Raekwon",raekwonmcmillan/2558070,LB,243
30,25,Michigan,Tennessee Titans,4th season,79,"Lewan, Taylor",taylorlewan/2550132,T,309
31,29,Oregon,New England Patriots,9th season,71,"Chung, Patrick",patrickchung/71251,SS,215
32,23,Alabama,Miami Dolphins,2nd season,73,"Drake, Kenyan",kenyandrake/2555230,RB,216
33,24,Miami (Ohio),Green Bay Packers,3rd season,71,"Rollins, Quinten",quintenrollins/2552263,CB,195
34,24,Western Kentucky,Seattle Seahawks,2nd season,77,"Fant, George",georgefant/2556524,OT,296
35,22,San Diego State,New York Giants,Rookie,73,"Munson, Calvin",calvinmunson/2559217,LB,245
36,26,Montana,Green Bay Packers,4th season,76,"Tripp, Jordan",jordantripp/2550147,OLB,244
37,21,Georgia,Atlanta Falcons,Rookie,72,"Davis, Reggie",reggiedavis/2559324,WR,159
38,23,Virginia,Baltimore Ravens,Rookie,70,"Mizzell, Taquan",taquanmizzell/2558975,RB,185
39,23,Oklahoma State,Oakland Raiders,1st season,77,"Bean, Jimmy",jimmybean/2557731,DE,251
40,25,Texas-El Paso,Dallas Cowboys,1st season,74,"Showers, Jameill",jameillshowers/2553600,QB,230
41,28,Connecticut,Tampa Bay Buccaneers,6th season,69,"McClain, Robert",robertmcclain/1037913,DB,195
42,23,Baylor,Houston Texans,Rookie,77,"Fuller, Kyle",kylefuller/2558866,C,306
43,22,Iowa,Minnesota Vikings,Rookie,75,"Johnson, Jaleel",jaleeljohnson/2557845,DT,309
44,23,Ohio State,Los Angeles Chargers,2nd season,76,"Perry, Joshua",joshuaperry/2555326,ILB,253
45,39,Florida State,Oakland Raiders,18th season,73,"Janikowski, Sebastian",sebastianjanikowski/2504257,K,265
46,25,Boston College,Arizona Cardinals,2nd season,79,"Wetzel, John",johnwetzel/2539207,OT,328
47,,South Dakota,Indianapolis Colts,Rookie,74,"Graham, Tyson",tysongraham/2559328,DB,210
48,27,Brigham Young,Kansas City Chiefs,4th season,74,"Sorensen, Daniel",danielsorensen/2550257,DB,208
49,26,Oklahoma,Cleveland Browns,4th season,76,"Ikard, Gabe",gabeikard/2550487,C,304
50,24,Arizona State,Green Bay Packers,3rd season,71,"Randall, Damarious",damariousrandall/2552389,CB,196
51,24,Notre Dame,Detroit Lions,2nd season,72,"Jones, T.J.",t.j.jones/2543836,WR,190
52,25,Georgia,Jacksonville Jaguars,5th season,76,"Jones, Abry",abryjones/2539230,DT,318
53,23,Maryland,Cleveland Browns,Rookie,71,"Hill, Alvin",alvinhill/2559185,CB,190
54,22,Arkansas State,Oakland Raiders,Rookie,71,"Humes, Chris",chrishumes/2559025,DB,207
55,26,Cornell,Cleveland Browns,5th season,76,"Tretter, JC",jctretter/2540292,C,307
56,25,Nebraska,Baltimore Ravens,2nd season,78,"Lewis, Alex",alexlewis/2555353,OG,315
57,26,Delaware,Denver Broncos,4th season,74,"Kerr, Zach",zachkerr/2550575,NT,334
58,24,Pittsburg State,Atlanta Falcons,Rookie,73,"Washington, Deron",deronwashington/2559126,DB,211
59,27,Notre Dame,Atlanta Falcons,5th season,77,"Robinson, Trevor",trevorrobinson/2535842,G,300
60,27,Florida State,Oakland Raiders,7th season,74,"Hudson, Rodney",rodneyhudson/2495171,C,300
61,25,Tennessee State,Seattle Seahawks,1st season,77,"Myers, Robert",robertmyers/2552347,OG,335
62,25,Colorado State,Baltimore Ravens,4th season,78,"Gillmore, Crockett",crockettgillmore/2543794,TE,260
63,23,Valdosta State,Buffalo Bills,1st season,70,"O'Neal, Cedric",cedrico'neal/2556760,RB,215
64,24,South Carolina,Carolina Panthers,2nd season,69,"Byrd, Damiere",damierebyrd/2553499,WR,180
65,24,Arizona State,Cincinnati Bengals,2nd season,75,"Westerman, Christian",christianwesterman/2555131,OG,300
66,20,Miami (Fla.),Cleveland Browns,Rookie,76,"Njoku, David",davidnjoku/2557986,TE,245
67,,Houston,Miami Dolphins,Rookie,78,"Malveaux, Cameron",cameronmalveaux/2559051,DE,251
68,22,Alabama,Oakland Raiders,3rd season,73,"Cooper, Amari",amaricooper/2552487,WR,210
69,22,Washington,Indianapolis Colts,Rookie,75,"Daniels, Darrell",darrelldaniels/2558886,TE,247
70,27,Kansas State,Minnesota Vikings,6th season,76,"Lamur, Emmanuel",emmanuellamur/2536032,LB,245
71,,New Haven,Buffalo Bills,Rookie,77,"Voytek, Zach",zachvoytek/2559294,OG,305
72,27,Georgia,Chicago Bears,5th season,75,"Jenkins, John",johnjenkins/2539231,DT,359
73,26,Florida Atlantic,Tampa Bay Buccaneers,4th season,73,"Glanton, Adarius",adariusglanton/2550565,OLB,230
74,32,Baker,New York Jets,8th season,75,"Purdum, Tanner",tannerpurdum/2507549,LS,270
75,26,Oklahoma,Tennessee Titans,4th season,70,"Hurst, Demontre",demontrehurst/2541837,DB,191
76,23,North Carolina-Charlotte,Green Bay Packers,Rookie,71,"Phillips, Kalif",kalifphillips/2559035,RB,185
77,,Texas Southern,Houston Texans,Rookie,70,"Carter, Cory",corycarter/2558297,P,185
78,26,Penn State,Detroit Lions,5th season,73,"Hill, Jordan",jordanhill/2539292,DT,290
79,25,Arizona,Cincinnati Bengals,4th season,75,"Flowers, Marquis",marquisflowers/2549896,OLB,245
80,25,Houston,Arizona Cardinals,Rookie,75,"Leone, Richie",richieleone/2550218,P,214
81,25,Penn State,Baltimore Ravens,4th season,75,"Urschel, John",johnurschel/2543845,OG,300
82,30,Missouri,Washington Redskins,9th season,75,"Hood, Ziggy",ziggyhood/2507780,NT,305
83,27,Temple,Detroit Lions,6th season,74,"Whitehead, Tahir",tahirwhitehead/2532986,MLB,241
84,22,Mississippi State,Cincinnati Bengals,1st season,78,"Brown, Ryan",ryanbrown/2556483,DE,267
85,25,Syracuse,New York Giants,4th season,75,"Bromley, Jay",jaybromley/2543860,DT,306
86,24,Boise State,Seattle Seahawks,2nd season,76,"Odhiambo, Rees",reesodhiambo/2555142,OG,315
87,22,Nebraska,Philadelphia Eagles,Rookie,74,"Gerry, Nate",nategerry/2558175,SAF,218
88,22,East Carolina,Buffalo Bills,Rookie,74,"Jones, Zay",zayjones/2557863,WR,202
89,22,Wake Forest,New York Giants,Rookie,76,"Banks, Josh",joshbanks/2559136,DT,290
90,23,Washington,Detroit Lions,2nd season,73,"Washington, Dwayne",dwaynewashington/2556118,RB,223
91,25,Sacramento State,Denver Broncos,4th season,73,"Davis, Todd",todddavis/2550930,ILB,230
92,22,Georgia,Baltimore Ravens,Rookie,75,"Kublanow, Brandon",brandonkublanow/2558962,C,291
93,30,Miami (Fla.),Seattle Seahawks,8th season,79,"Graham, Jimmy",jimmygraham/497236,TE,265
94,26,Marshall,Arizona Cardinals,Rookie,73,"Bazzie, Alex",alexbazzie/2558294,LB,229
95,23,Globe Tech NY (J.C.),Buffalo Bills,1st season,74,"Powell, Joe",joepowell/2557550,DB,205
96,,Boise State,Buffalo Bills,Rookie,73,"Vallejo, Tanner",tannervallejo/2558289,LB,228
97,22,Idaho,Jacksonville Jaguars,Rookie,73,"Lupeamanu, Tueni",tuenilupeamanu/2559306,DT,252
98,23,Clemson,Houston Texans,Rookie,76,"Watkins, Carlos",carloswatkins/2557877,DT,312
99,23,UCLA,Houston Texans,2nd season,72,"Fairbairn, Ka'imi",ka'imifairbairn/2556521,K,185
100,29,Ohio U.,Pittsburgh Steelers,9th season,73,"Mitchell, Mike",mikemitchell/238227,FS,221
101,22,Florida Atlantic,New Orleans Saints,Rookie,76,"Hendrickson, Trey",treyhendrickson/2557943,DE,270
102,24,Washington,Atlanta Falcons,1st season,70,"Hall, Marvin",marvinhall/2557034,WR,190
103,22,Purdue,Green Bay Packers,Rookie,74,"Yancey, DeAngelo",deangeloyancey/2558025,WR,205
104,25,Alabama,New England Patriots,2nd season,72,"White, DeAndrew",deandrewwhite/2552657,WR,192
105,24,Boston College,Los Angeles Chargers,3rd season,72,"Williams, Andre",andrewilliams/2543565,RB,220
106,23,Rutgers,Miami Dolphins,2nd season,72,"Carroo, Leonte",leontecarroo/2555215,WR,217
107,31,Louisville,Houston Texans,10th season,79,"Giacomini, Breno",brenogiacomini/758,T,318
108,25,Northern Illinois,Los Angeles Chargers,1st season,72,"Brown, Da'Ron",da'ronbrown/2552479,WR,199
109,22,Tennessee,Pittsburgh Steelers,Rookie,75,"Dobbs, Joshua",joshuadobbs/2558167,QB,216
110,27,Mississippi State,Seattle Seahawks,7th season,76,"Wright, K.J.",k.j.wright/2495252,OLB,246
111,28,South Dakota,Chicago Bears,5th season,77,"Compton, Tom",tomcompton/2532816,T,308
112,22,Temple,Houston Texans,Rookie,70,"Williams, Avery",averywilliams/2559282,LB,201
113,26,West Alabama,Miami Dolphins,Rookie,73,"Lacey, Deon",deonlacey/2541848,LB,225
114,23,USC,Cleveland Browns,4th season,75,"Martin, Marcus",marcusmartin/2543670,C,321
115,23,Alabama,San Francisco 49ers,Rookie,73,"Foster, Reuben",reubenfoster/2557837,LB,228
116,24,Florida,Washington Redskins,3rd season,74,"Dunbar, Quinton",quintondunbar/2553796,CB,203
117,31,Tennessee State,New York Giants,10th season,74,"Rodgers-Cromartie, Dominique",dominiquerodgers-cromartie/306,CB,193
118,22,Florida,Jacksonville Jaguars,3rd season,74,"Fowler, Dante",dantefowler/2553431,DE,250
119,26,Virginia,Philadelphia Eagles,6th season,70,"McLeod, Rodney",rodneymcleod/2534832,FS,195
120,29,Eastern Michigan,Detroit Lions,9th season,76,"Lang, T.J.",t.j.lang/89746,OG,318
121,26,Mississippi State,Philadelphia Eagles,6th season,76,"Cox, Fletcher",fletchercox/2533051,DT,310
122,21,South Florida,Indianapolis Colts,Rookie,72,"Mack, Marlon",marlonmack/2558123,RB,210
123,24,East Carolina,Carolina Panthers,Rookie,74,"Bigger, Zeek",zeekbigger/2559377,LB,216
124,31,Kent State,New England Patriots,9th season,70,"Edelman, Julian",julianedelman/238498,WR,200
125,26,South Carolina,New England Patriots,6th season,73,"Gilmore, Stephon",stephongilmore/2533062,CB,190
126,22,California,Tennessee Titans,Rookie,69,"Muhammad, Khalfani",khalfanimuhammad/2558861,RB,175
127,24,Vanderbilt,Indianapolis Colts,2nd season,73,"Williamson, Andrew",andrewwilliamson/2556402,DB,212
128,22,Eastern Michigan,Indianapolis Colts,Rookie,78,"Wylie, Andrew",andrewwylie/2559354,OT,311
129,25,Eastern Washington,Pittsburgh Steelers,1st season,78,"Rodgers, Jake",jakerodgers/2553236,OT,320
130,25,Boston College,Seattle Seahawks,4th season,72,"Pierre-Louis, Kevin",kevinpierre-louis/2543563,OLB,230
131,,St. Francis (PA),San Francisco 49ers,Rookie,71,"Jerome, Lorenzo",lorenzojerome/2558957,DB,202
132,28,Washington,Washington Redskins,7th season,73,"Foster, Mason",masonfoster/2495281,ILB,250
133,24,Washington State,Arizona Cardinals,4th season,73,"Bucannon, Deone",deonebucannon/2543769,OLB,211
134,24,Utah,New England Patriots,3rd season,73,"Rowe, Eric",ericrowe/2552255,CB,205
135,31,Southern Mississippi,Houston Texans,9th season,77,"Clark, Chris",chrisclark/2507358,T,305
136,27,Utah State,San Francisco 49ers,5th season,71,"Davis, Will",willdavis/2540217,DB,180
137,26,Miami (Fla.),Chicago Bears,4th season,76,"O'Donnell, Pat",pato'donnell/2543611,P,217
138,27,California (PA),Chicago Bears,4th season,76,"Kush, Eric",erickush/2541312,OG,313
139,28,Missouri Southern State,Baltimore Ravens,5th season,73,"Williams, Brandon",brandonwilliams/2541302,NT,340
140,23,Idaho,Arizona Cardinals,1st season,74,"Penny, Elijhaa",elijhaapenny/2556762,RB,234
141,21,Baylor,New York Jets,Rookie,72,"Cannon, KD",kdcannon/2558927,WR,180
142,23,Youngstown State,New England Patriots,Rookie,76,"Rivers, Derek",derekrivers/2558040,OLB,250
143,22,USC,Oakland Raiders,Rookie,75,"Whitney, Isaac",isaacwhitney/2559008,WR,220
144,22,Southeastern Louisiana,Arizona Cardinals,1st season,72,"Miller, Harlan",harlanmiller/2555174,FS,182
145,24,Akron,Arizona Cardinals,1st season,75,"Capi, Cap",capcapi/2553870,DE,249
146,26,Missouri Western State,Seattle Seahawks,5th season,76,"Bass, David",davidbass/2540277,LB,256
147,24,Michigan State,Oakland Raiders,2nd season,76,"Cook, Connor",connorcook/2555332,QB,217
148,23,Pennsylvania,Oakland Raiders,2nd season,78,"O'Malley, Ryan",ryano'malley/2556818,TE,258
149,23,West Georgia,Carolina Panthers,Rookie,74,"Armah, Alex",alexarmah/2558833,FB,253
150,23,Michigan,Carolina Panthers,3rd season,76,"Funchess, Devin",devinfunchess/2552458,WR,225
151,25,Auburn,Houston Texans,2nd season,77,"Slade, Chad",chadslade/2553601,OG,315
152,23,Duke,Washington Redskins,3rd season,68,"Crowder, Jamison",jamisoncrowder/2552415,WR,182
153,22,Iowa State,Philadelphia Eagles,Rookie,70,"Wiltz, Jomal",jomalwiltz/2559283,CB,174
154,26,Lehigh,Detroit Lions,3rd season,73,"Spadola, Ryan",ryanspadola/2540268,WR,205
155,22,Texas-El Paso,Green Bay Packers,Rookie,69,"Jones, Aaron",aaronjones/2558116,RB,208
156,23,Nebraska,New England Patriots,2nd season,74,"Valentine, Vincent",vincentvalentine/2555517,NT,320
157,25,USC,Tampa Bay Buccaneers,Rookie,73,"Tu'ikolovatu, Stevie",stevietu'ikolovatu/2557962,NT,350
158,25,Texas A&M,Seattle Seahawks,5th season,78,"Joeckel, Luke",lukejoeckel/2540139,T,312
159,22,Texas-El Paso,Cincinnati Bengals,Rookie,73,"Laufasa, Darrin",darrinlaufasa/2558964,FB,240
160,24,Cincinnati,Denver Broncos,1st season,77,"Murray, Justin",justinmurray/2556628,OT,304
161,23,Georgia,San Francisco 49ers,2nd season,78,"Theus, John",johntheus/2555198,OT,303
162,23,Northwestern,Cleveland Browns,2nd season,73,"Vitale, Danny",dannyvitale/2555218,RB,239
163,24,Ohio State,Houston Texans,2nd season,73,"Miller, Braxton",braxtonmiller/2555348,WR,205
164,23,Nebraska,Detroit Lions,3rd season,69,"Abdullah, Ameer",ameerabdullah/2552374,RB,203
165,28,Georgia,Cincinnati Bengals,7th season,76,"Green, A.J.",a.j.green/2495450,WR,210
166,22,Florida,Cleveland Browns,Rookie,74,"Brantley, Caleb",calebbrantley/2558007,DT,314
167,24,Ferris State,New York Jets,1st season,76,"Vander Laan, Jason",jasonvanderlaan/2556700,TE,244
168,,Kent State,Cleveland Browns,Rookie,69,"Murray, Najee",najeemurray/2559344,DB,185
169,24,South Carolina,Houston Texans,4th season,77,"Clowney, Jadeveon",jadeveonclowney/2543456,DE,270
170,26,Marist,Jacksonville Jaguars,3rd season,70,"Myers, Jason",jasonmyers/2553112,K,195
171,24,LSU,New York Jets,2nd season,74,"Martin, Ronald",ronaldmartin/2553726,SS,220
172,27,Michigan,Jacksonville Jaguars,5th season,76,"Omameh, Patrick",patrickomameh/2539259,OG,316
173,25,Arizona State,Cincinnati Bengals,3rd season,75,"Hardison, Marcus",marcushardison/2552672,DT,315
174,25,Kentucky,Los Angeles Rams,2nd season,75,"Forrest, Josh",joshforrest/2555167,OLB,249
175,24,North Carolina,Cincinnati Bengals,4th season,75,"Bodine, Russell",russellbodine/2543622,C,308
176,26,South Dakota State,Kansas City Chiefs,2nd season,79,"Witzmann, Bryan",bryanwitzmann/2550606,OT,320
177,23,Wisconsin,Green Bay Packers,Rookie,75,"Biegel, Vince",vincebiegel/2557906,OLB,246
178,25,Northern Iowa,Arizona Cardinals,3rd season,74,"Williams, Xavier",xavierwilliams/2553764,NT,309
179,21,Oklahoma,Washington Redskins,Rookie,70,"Perine, Samaje",samajeperine/2558138,RB,235
180,26,Towson,Pittsburgh Steelers,2nd season,70,"Dangerfield, Jordan",jordandangerfield/2541696,SS,199
181,21,Colorado,Cleveland Browns,Rookie,72,"Olugbode, Kenneth",kennetholugbode/2559224,LB,220
182,24,Grand Valley State,Baltimore Ravens,2nd season,75,"Judon, Matt",mattjudon/2555505,LB,275
183,29,Texas Tech,Oakland Raiders,9th season,73,"Crabtree, Michael",michaelcrabtree/71269,WR,215
184,42,Texas,Arizona Cardinals,19th season,71,"Dawson, Phil",phildawson/2500351,K,200
185,25,Michigan State,Pittsburgh Steelers,5th season,73,"Bell, Le'Veon",le'veonbell/2540175,RB,225
186,29,Clemson,Kansas City Chiefs,7th season,76,"Jenkins, Jarvis",jarvisjenkins/2495178,DT,300
